OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
11,c43b188b,02/01/1995 08:00:00 AM,Wednesday,Feb,1,1995,8,3,6,2009,RAPE,FELONY,G,83,BROOKLYN,N.Y. POLICE DEPT,1006965,193571,"(40.697963515, -73.9180833619999)"
12,81770cd9,02/01/1996 03:00:00 PM,Thursday,Feb,1,1996,15,8,7,2007,GRAND LARCENY,FELONY,B,71,BROOKLYN,N.Y. POLICE DEPT,997457,181411,"(40.664606373, -73.9523962929999)"
13,cb5b6e80,04/15/1998 09:00:00 AM,Wednesday,Apr,15,1998,9,12,7,2006,GRAND LARCENY,FELONY,E,43,BRONX,N.Y. POLICE DEPT,1018182,239891,"(40.82506399, -73.8773972609999)"
14,fa2de4a8,11/09/1998 08:00:00 AM,Monday,Nov,9,1998,8,4,22,2006,GRAND LARCENY,FELONY,A,30,MANHATTAN,N.Y. POLICE DEPT,996889,239161,"(40.8231164790001, -73.954335162)"
15,20a353dd,12/21/1998 12:00:00 AM,Monday,Dec,21,1998,0,3,9,2007,GRAND LARCENY,FELONY,M,44,BRONX,N.Y. POLICE DEPT,1004850,244753,"(40.838449934, -73.925553911)"
16,875e9b22,04/15/1999 09:00:00 AM,Thursday,Apr,15,1999,9,4,7,2010,GRAND LARCENY,FELONY,D,73,BROOKLYN,N.Y. POLICE DEPT,1007783,185486,"(40.6757699120001, -73.9151616139999)"
17,4e7b80e0,11/09/1999 08:00:00 AM,Tuesday,Nov,9,1999,8,5,23,2008,GRAND LARCENY,FELONY,J,43,BRONX,N.Y. POLICE DEPT,1021767,245307,"(40.839914838, -73.864413554)"
18,9d617db6,01/09/2000 08:00:00 PM,Sunday,Jan,9,2000,20,11,6,2006,RAPE,FELONY,G,108,QUEENS,N.Y. POLICE DEPT,996793,210001,"(40.7430801680001, -73.954736461)"
19,6d81a2b9,01/09/2000 09:30:00 PM,Sunday,Jan,9,2000,21,1,9,2006,ROBBERY,FELONY,E,47,BRONX,N.Y. POLICE DEPT,1024562,263549,"(40.8899712210001, -73.854202605)"
20,f7d373fa,02/11/2000 10:00:00 AM,Friday,Feb,11,2000,10,1,10,2006,GRAND LARCENY,FELONY,K,43,BRONX,N.Y. POLICE DEPT,1023266,244631,"(40.838052921, -73.859000051)"
21,95f3c8a8,02/22/2000 12:01:00 AM,Tuesday,Feb,22,2000,0,4,4,2006,GRAND LARCENY,FELONY,A,72,BROOKLYN,N.Y. POLICE DEPT,990399,178816,"(40.657491384, -73.977839495)"
22,cee0f9db,03/23/2000 12:01:00 AM,Thursday,Mar,23,2000,0,4,28,2008,GRAND LARCENY,FELONY,H,66,BROOKLYN,N.Y. POLICE DEPT,981903,170562,"(40.634837755, -74.008457521)"
23,577959b7,04/20/2000 05:00:00 PM,Thursday,Apr,20,2000,17,4,19,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,H,47,BRONX,N.Y. POLICE DEPT,1020808,262493,"(40.8870891880001, -73.867785667)"
24,186507e1,07/21/2000 08:00:00 AM,Friday,Jul,21,2000,8,11,21,2006,GRAND LARCENY,FELONY,J,71,BROOKLYN,N.Y. POLICE DEPT,1000560,179992,"(40.6607063600001, -73.9412148439999)"
25,fa9232e3,07/25/2000 11:00:00 PM,Tuesday,Jul,25,2000,23,7,26,2006,GRAND LARCENY,FELONY,G,113,QUEENS,N.Y. POLICE DEPT,1039873,186155,"(40.677462695, -73.799467341)"
26,504996e7,07/30/2000 10:00:00 AM,Sunday,Jul,30,2000,10,2,7,2007,GRAND LARCENY,FELONY,J,111,QUEENS,N.Y. POLICE DEPT,1051103,217217,"(40.762642402, -73.758672201)"
27,13b71029,07/30/2000 11:45:00 AM,Sunday,Jul,30,2000,11,7,31,2006,GRAND LARCENY,FELONY,K,104,QUEENS,N.Y. POLICE DEPT,1017792,202326,"(40.721959482, -73.878993913)"
28,352c6c1b,09/27/2000 01:00:00 AM,Wednesday,Sep,27,2000,1,9,28,2010,GRAND LARCENY,FELONY,F,102,QUEENS,N.Y. POLICE DEPT,1031203,195505,"(40.70317648, -73.830659498)"
29,95d7689b,10/13/2000 12:00:00 PM,Friday,Oct,13,2000,12,9,29,2007,GRAND LARCENY,FELONY,J,73,BROOKLYN,N.Y. POLICE DEPT,1008950,180855,"(40.6630556750001, -73.910971382)"
30,8f4d92fd,11/17/2000 05:20:00 PM,Friday,Nov,17,2000,17,11,17,2006,BURGLARY,FELONY,H,72,BROOKLYN,N.Y. POLICE DEPT,980722,172840,"(40.641089987, -74.012713774)"
31,de36d5dc,11/19/2000 04:00:00 PM,Sunday,Nov,19,2000,16,11,19,2006,GRAND LARCENY,FELONY,G,115,QUEENS,N.Y. POLICE DEPT,1016138,214586,"(40.755616236, -73.884902833)"
32,a615aee7,12/09/2000 08:00:00 PM,Saturday,Dec,9,2000,20,12,10,2006,BURGLARY,FELONY,K,61,BROOKLYN,N.Y. POLICE DEPT,996717,160551,"(40.607351185, -73.9551021889999)"
33,63e23385,01/09/2001 12:00:00 AM,Tuesday,Jan,9,2001,0,11,18,2006,GRAND LARCENY,FELONY,C,94,BROOKLYN,N.Y. POLICE DEPT,997145,206387,"(40.733160126, -73.9534730939999)"
34,5db45c4d,01/09/2001 12:01:00 AM,Tuesday,Jan,9,2001,0,4,26,2006,GRAND LARCENY,FELONY,H,79,BROOKLYN,N.Y. POLICE DEPT,996838,189528,"(40.686886611, -73.9546123439999)"
35,5b28d5e4,01/09/2001 12:00:00 PM,Tuesday,Jan,9,2001,12,5,18,2006,GRAND LARCENY,FELONY,H,79,BROOKLYN,N.Y. POLICE DEPT,996838,189528,"(40.686886611, -73.9546123439999)"
36,7294780d,01/09/2001 03:00:00 PM,Tuesday,Jan,9,2001,15,7,9,2011,RAPE,FELONY,H,63,BROOKLYN,N.Y. HOUSING POLICE,1000448,168068,"(40.6279777550001, -73.941647157)"
37,716d9b05,02/11/2001 12:01:00 AM,Sunday,Feb,11,2001,0,2,13,2012,RAPE,FELONY,B,25,MANHATTAN,N.Y. POLICE DEPT,1000555,230994,"(40.800694331, -73.941109286)"
38,6b8e340f,04/20/2001 12:00:00 AM,Friday,Apr,20,2001,0,12,11,2007,GRAND LARCENY,FELONY,T,120,STATEN ISLAND,N.Y. HOUSING POLICE,938876,169548,"(40.631938635, -74.1634738339999)"
39,af5a8393,04/20/2001 12:01:00 AM,Friday,Apr,20,2001,0,1,19,2007,GRAND LARCENY,FELONY,N,67,BROOKLYN,N.Y. POLICE DEPT,1005566,180451,"(40.6619555780001, -73.9231701319999)"
40,6c29f636,07/21/2001 03:50:00 AM,Saturday,Jul,21,2001,3,7,21,2011,BURGLARY,FELONY,A,34,MANHATTAN,N.Y. POLICE DEPT,1002893,249675,"(40.8519637260001, -73.932612741)"
41,481b9ff2,07/25/2001 12:00:00 PM,Wednesday,Jul,25,2001,12,10,3,2008,GRAND LARCENY,FELONY,D,60,BROOKLYN,N.Y. POLICE DEPT,992174,150930,"(40.5809486970001, -73.971474848)"
42,4b8eedfd,11/19/2001 12:00:00 PM,Monday,Nov,19,2001,12,11,19,2014,RAPE,FELONY,G,75,BROOKLYN,N.Y. POLICE DEPT,1017141,183798,"(40.671106911, -73.881432957)"
43,866010e,11/21/2001 09:00:00 AM,Wednesday,Nov,21,2001,9,11,5,2007,GRAND LARCENY,FELONY,E,1,MANHATTAN,N.Y. POLICE DEPT,980569,197173,"(40.707878545, -74.0132783669999)"
44,6184aaa2,11/21/2001 01:00:00 PM,Wednesday,Nov,21,2001,13,6,5,2008,GRAND LARCENY,FELONY,K,111,QUEENS,N.Y. POLICE DEPT,1056735,221276,"(40.773738875, -73.738297873)"
45,6e23a982,01/10/2002 09:00:00 AM,Thursday,Jan,10,2002,9,8,29,2012,GRAND LARCENY,FELONY,C,20,MANHATTAN,N.Y. POLICE DEPT,989873,221132,"(40.773639029, -73.979699942)"
46,6324f2d4,02/22/2002 12:01:00 AM,Friday,Feb,22,2002,0,8,11,2008,GRAND LARCENY,FELONY,H,83,BROOKLYN,N.Y. POLICE DEPT,1008818,193796,"(40.698576137, -73.911399992)"
47,e38a4eb8,02/22/2002 12:01:00 AM,Friday,Feb,22,2002,0,10,6,2009,GRAND LARCENY,FELONY,T,44,BRONX,N.Y. POLICE DEPT,1007818,245734,"(40.8411350710001, -73.914824242)"
48,19c0d9b3,02/22/2002 10:00:00 AM,Friday,Feb,22,2002,10,1,24,2009,GRAND LARCENY,FELONY,E,5,MANHATTAN,N.Y. POLICE DEPT,985467,202050,"(40.7212654310001, -73.9956109939999)"
49,bf9a48b0,04/20/2002 12:00:00 PM,Saturday,Apr,20,2002,12,11,1,2006,GRAND LARCENY,FELONY,E,90,BROOKLYN,N.Y. POLICE DEPT,997120,197678,"(40.7092560580001, -73.953579953)"
50,1db1cf00,04/20/2002 02:30:00 PM,Saturday,Apr,20,2002,14,4,20,2007,GRAND LARCENY,FELONY,N,75,BROOKLYN,N.Y. POLICE DEPT,1020709,178933,"(40.657739603, -73.868597031)"
51,a8b6aec,05/06/2002 12:00:00 PM,Monday,May,6,2002,12,3,21,2007,GRAND LARCENY,FELONY,J,105,QUEENS,N.Y. POLICE DEPT,1052536,203863,"(40.7259781990001, -73.7536348909999)"
52,7e1e7d19,06/27/2002 03:32:00 AM,Thursday,Jun,27,2002,3,6,27,2008,ROBBERY,FELONY,H,49,BRONX,N.Y. POLICE DEPT,1020798,254601,"(40.8654281460001, -73.867864886)"
53,c1a3606c,07/21/2002 12:00:00 PM,Sunday,Jul,21,2002,12,8,31,2006,GRAND LARCENY,FELONY,B,1,MANHATTAN,N.Y. POLICE DEPT,982276,196845,"(40.706978808, -74.007121329)"
54,ea7a61ce,07/25/2002 12:00:00 PM,Thursday,Jul,25,2002,12,2,13,2011,RAPE,FELONY,A,101,QUEENS,N.Y. POLICE DEPT,1053678,159044,"(40.6029515910001, -73.749976261)"
55,3f4fb44c,07/30/2002 09:00:00 AM,Tuesday,Jul,30,2002,9,7,5,2007,GRAND LARCENY,FELONY,B,9,MANHATTAN,N.Y. HOUSING POLICE,990398,204361,"(40.7276065140001, -73.97781979)"
56,1e1980a0,07/30/2002 12:00:00 PM,Tuesday,Jul,30,2002,12,8,30,2007,RAPE,FELONY,E,47,BRONX,N.Y. POLICE DEPT,1026387,262634,"(40.887451313, -73.847607787)"
57,2feb80d7,09/27/2002 03:00:00 PM,Friday,Sep,27,2002,15,12,7,2006,GRAND LARCENY,FELONY,M,75,BROOKLYN,N.Y. HOUSING POLICE,1021009,182983,"(40.6688547050001, -73.8674937019999)"
58,f9fdad29,10/13/2002 12:01:00 AM,Sunday,Oct,13,2002,0,1,21,2006,GRAND LARCENY,FELONY,J,109,QUEENS,N.Y. POLICE DEPT,1031840,218785,"(40.767070824, -73.828197411)"
59,dda3d8c,10/15/2002 12:01:00 AM,Tuesday,Oct,15,2002,0,10,30,2007,GRAND LARCENY,FELONY,C,109,QUEENS,N.Y. POLICE DEPT,1032145,213626,"(40.7529090680001, -73.827133091)"
60,dd110518,10/15/2002 07:00:00 AM,Tuesday,Oct,15,2002,7,1,18,2006,RAPE,FELONY,C,79,BROOKLYN,N.Y. POLICE DEPT,999634,190253,"(40.688872153, -73.9445290319999)"
61,af81bf03,10/15/2002 11:00:00 AM,Tuesday,Oct,15,2002,11,7,11,2008,GRAND LARCENY,FELONY,F,63,BROOKLYN,N.Y. POLICE DEPT,999186,166326,"(40.6231985480001, -73.946197442)"
62,d18d2c66,11/25/2002 12:01:00 AM,Monday,Nov,25,2002,0,3,3,2009,RAPE,FELONY,B,17,MANHATTAN,N.Y. POLICE DEPT,992411,215025,"(40.7568749110001, -73.970544057)"
63,10824be4,01/10/2003 12:00:00 PM,Friday,Jan,10,2003,12,6,6,2007,GRAND LARCENY,FELONY,E,114,QUEENS,N.Y. POLICE DEPT,1007654,219564,"(40.7693060870001, -73.91550818)"
64,11f63649,02/11/2003 09:00:00 AM,Tuesday,Feb,11,2003,9,7,3,2006,GRAND LARCENY,FELONY,E,90,BROOKLYN,N.Y. POLICE DEPT,997670,197744,"(40.7094363950001, -73.951595997)"
65,eda4c61d,03/17/2003 12:30:00 AM,Monday,Mar,17,2003,0,3,17,2013,BURGLARY,FELONY,E,88,BROOKLYN,N.Y. POLICE DEPT,991691,188794,"(40.684877773, -73.973171916)"
66,8f2f6d83,03/19/2003 01:30:00 PM,Wednesday,Mar,19,2003,13,3,15,2007,FELONY ASSAULT,FELONY,,43,BRONX,N.Y. HOUSING POLICE,1020891,236726,"(40.8163661450001, -73.867626311)"
67,e7bb25fe,03/23/2003 04:30:00 PM,Sunday,Mar,23,2003,16,3,23,2006,FELONY ASSAULT,FELONY,C,45,BRONX,N.Y. POLICE DEPT,1034268,240298,"(40.826104646, -73.819271913)"
68,a3ec4a4,03/23/2003 06:30:00 PM,Sunday,Mar,23,2003,18,3,31,2009,ROBBERY,FELONY,F,44,BRONX,N.Y. POLICE DEPT,1006176,243360,"(40.8346233600001, -73.920766358)"
69,63b03df2,04/20/2003 12:00:00 PM,Sunday,Apr,20,2003,12,5,6,2008,GRAND LARCENY,FELONY,K,108,QUEENS,N.Y. POLICE DEPT,1010827,210721,"(40.7450253480001, -73.9040879579999)"
70,93b7b3db,05/06/2003 09:00:00 AM,Tuesday,May,6,2003,9,9,1,2006,GRAND LARCENY,FELONY,D,115,QUEENS,N.Y. POLICE DEPT,1018682,218063,"(40.7651501610001, -73.8757025579999)"
71,1d071209,05/06/2003 11:30:00 AM,Tuesday,May,6,2003,11,3,30,2007,GRAND LARCENY,FELONY,P,73,BROOKLYN,N.Y. POLICE DEPT,1008239,178970,"(40.6578837220001, -73.913540855)"
72,cad64745,09/07/2003 03:00:00 PM,Sunday,Sep,7,2003,15,9,16,2006,GRAND LARCENY,FELONY,H,70,BROOKLYN,N.Y. POLICE DEPT,995849,172757,"(40.64085528, -73.958207273)"
73,544f502b,10/13/2003 09:30:00 PM,Monday,Oct,13,2003,21,10,14,2006,GRAND LARCENY,FELONY,H,13,MANHATTAN,N.Y. POLICE DEPT,985927,209362,"(40.741335006, -73.993949675)"
74,7a15ac53,10/15/2003 12:01:00 AM,Wednesday,Oct,15,2003,0,6,24,2011,GRAND LARCENY,FELONY,C,43,BRONX,N.Y. POLICE DEPT,1021465,239891,"(40.825050768, -73.865535037)"
75,31fb7f4e,10/15/2003 09:00:00 AM,Wednesday,Oct,15,2003,9,2,17,2006,GRAND LARCENY,FELONY,B,26,MANHATTAN,N.Y. POLICE DEPT,993315,233103,"(40.806493351, -73.9672566519999)"
76,3428927a,11/19/2003 12:00:00 AM,Wednesday,Nov,19,2003,0,9,12,2008,GRAND LARCENY,FELONY,H,77,BROOKLYN,N.Y. POLICE DEPT,999689,185633,"(40.676191208, -73.944341295)"
77,d1ff459e,11/21/2003 08:00:00 AM,Friday,Nov,21,2003,8,10,10,2007,GRAND LARCENY,FELONY,D,72,BROOKLYN,N.Y. POLICE DEPT,978878,174302,"(40.645101937, -74.0193593669999)"
78,a16ad06d,12/09/2003 12:01:00 AM,Tuesday,Dec,9,2003,0,3,27,2007,GRAND LARCENY,FELONY,C,114,QUEENS,N.Y. POLICE DEPT,1006222,214547,"(40.7555393910001, -73.9206943899999)"
79,3c2cac90,01/09/2004 12:00:00 PM,Friday,Jan,9,2004,12,4,8,2009,GRAND LARCENY,FELONY,F,1,MANHATTAN,N.Y. POLICE DEPT,979906,199601,"(40.714542529, -74.0156712949999)"
80,a20d0dcc,01/10/2004 09:00:00 AM,Saturday,Jan,10,2004,9,9,10,2006,FELONY ASSAULT,FELONY,B,9,MANHATTAN,N.Y. POLICE DEPT,990577,204879,"(40.729028172, -73.977173481)"
81,47bb2008,01/10/2004 08:00:00 PM,Saturday,Jan,10,2004,20,2,24,2009,RAPE,FELONY,H,79,BROOKLYN,N.Y. HOUSING POLICE,999634,190253,"(40.688872153, -73.9445290319999)"
82,f760d4c9,02/11/2004 10:45:00 AM,Wednesday,Feb,11,2004,10,2,11,2014,GRAND LARCENY,FELONY,A,26,MANHATTAN,N.Y. TRANSIT POLICE,997374,234664,"(40.8107727670001, -73.9525915899999)"
83,9d3eeb72,03/23/2004 01:00:00 PM,Tuesday,Mar,23,2004,13,3,11,2009,GRAND LARCENY,FELONY,B,19,MANHATTAN,N.Y. POLICE DEPT,993602,220583,"(40.772129009, -73.966237373)"
84,b17c6e08,03/23/2004 04:00:00 PM,Tuesday,Mar,23,2004,16,3,24,2008,GRAND LARCENY OF MOTOR VEHICLE,FELONY,K,66,BROOKLYN,N.Y. POLICE DEPT,988430,173699,"(40.6434474760001, -73.984939246)"
85,8ca9eb1d,04/20/2004 05:30:00 PM,Tuesday,Apr,20,2004,17,4,21,2007,RAPE,FELONY,E,62,BROOKLYN,N.Y. POLICE DEPT,983393,158818,"(40.602603179, -74.0030876609999)"
86,6eb8c449,05/06/2004 08:00:00 AM,Thursday,May,6,2004,8,6,27,2006,GRAND LARCENY,FELONY,G,77,BROOKLYN,N.Y. POLICE DEPT,998807,184084,"(40.671941046, -73.947524395)"
87,41cc5c7,06/27/2004 12:01:00 AM,Sunday,Jun,27,2004,0,1,12,2007,GRAND LARCENY,FELONY,G,43,BRONX,N.Y. POLICE DEPT,1024389,241131,"(40.8284414080001, -73.8549625479999)"
88,30de958a,07/21/2004 12:01:00 AM,Wednesday,Jul,21,2004,0,3,14,2006,GRAND LARCENY,FELONY,Q,122,STATEN ISLAND,N.Y. POLICE DEPT,931202,154234,"(40.589862313, -74.191001157)"
89,18df2f37,07/21/2004 12:00:00 PM,Wednesday,Jul,21,2004,12,8,21,2006,GRAND LARCENY,FELONY,6,62,BROOKLYN,N.Y. POLICE DEPT,986543,157612,"(40.5992926980001, -73.991744317)"
90,1344b8ca,07/25/2004 12:01:00 AM,Sunday,Jul,25,2004,0,11,30,2006,GRAND LARCENY,FELONY,,102,QUEENS,N.Y. POLICE DEPT,1025885,191779,"(40.6929761100001, -73.849862531)"
91,43b044d,07/30/2004 12:00:00 PM,Friday,Jul,30,2004,12,7,25,2008,GRAND LARCENY,FELONY,N,67,BROOKLYN,N.Y. POLICE DEPT,1004691,179195,"(40.658510198, -73.926327784)"
92,1762a889,07/30/2004 03:30:00 PM,Friday,Jul,30,2004,15,11,6,2007,GRAND LARCENY,FELONY,J,75,BROOKLYN,N.Y. POLICE DEPT,1015238,180730,"(40.6626928050001, -73.88830716)"
93,fee13f9c,08/06/2004 01:00:00 PM,Friday,Aug,6,2004,13,1,12,2007,GRAND LARCENY,FELONY,K,47,BRONX,N.Y. POLICE DEPT,1029795,262068,"(40.885880892, -73.835286211)"
94,1468b986,10/13/2004 09:00:00 AM,Wednesday,Oct,13,2004,9,2,15,2008,GRAND LARCENY,FELONY,F,69,BROOKLYN,N.Y. POLICE DEPT,1016056,171756,"(40.6380582400001, -73.88540105)"
95,7474595,10/15/2004 12:00:00 AM,Friday,Oct,15,2004,0,6,14,2007,GRAND LARCENY,FELONY,D,104,QUEENS,N.Y. POLICE DEPT,1013047,196099,"(40.7048845790001, -73.896138792)"
96,af833860,10/15/2004 12:01:00 AM,Friday,Oct,15,2004,0,4,5,2006,GRAND LARCENY,FELONY,C,122,STATEN ISLAND,OTHER,953027,146211,"(40.5679445260001, -74.112383138)"
97,fb9c86c8,10/15/2004 12:01:00 AM,Friday,Oct,15,2004,0,8,6,2007,GRAND LARCENY,FELONY,C,72,BROOKLYN,N.Y. POLICE DEPT,984854,180522,"(40.662176092, -73.997824381)"
98,215470b8,10/15/2004 12:01:00 AM,Friday,Oct,15,2004,0,6,19,2006,GRAND LARCENY,FELONY,C,24,MANHATTAN,N.Y. POLICE DEPT,992656,228936,"(40.7950567250001, -73.969642323)"
99,7a9e8ff,10/15/2004 12:00:00 PM,Friday,Oct,15,2004,12,6,13,2008,GRAND LARCENY,FELONY,D,115,QUEENS,N.Y. POLICE DEPT,1016787,217460,"(40.7635022590001, -73.882546384)"
100,a9953385,10/15/2004 04:30:00 PM,Friday,Oct,15,2004,16,7,24,2006,RAPE,FELONY,T,44,BRONX,N.Y. POLICE DEPT,1006434,244344,"(40.8373235110001, -73.9198307569999)"
101,6a8fd26a,11/17/2004 08:00:00 AM,Wednesday,Nov,17,2004,8,2,13,2006,GRAND LARCENY,FELONY,,101,QUEENS,N.Y. POLICE DEPT,1051002,158131,"(40.600466161, -73.759622086)"
102,6077726e,11/17/2004 04:19:00 PM,Wednesday,Nov,17,2004,16,11,6,2009,GRAND LARCENY,FELONY,J,52,BRONX,N.Y. POLICE DEPT,1016153,256549,"(40.870792818, -73.884649242)"
103,6b53fd96,11/19/2004 12:00:00 AM,Friday,Nov,19,2004,0,8,28,2006,GRAND LARCENY,FELONY,H,115,QUEENS,N.Y. POLICE DEPT,1018699,215043,"(40.756860977, -73.875656664)"
104,995e60e2,11/19/2004 09:00:00 AM,Friday,Nov,19,2004,9,9,15,2007,GRAND LARCENY,FELONY,C,114,QUEENS,N.Y. POLICE DEPT,1006222,214547,"(40.7555393910001, -73.9206943899999)"
105,d6b96f0c,11/19/2004 09:00:00 AM,Friday,Nov,19,2004,9,1,23,2007,GRAND LARCENY,FELONY,M,46,BRONX,N.Y. POLICE DEPT,1005905,248764,"(40.8494564280001, -73.921728235)"
106,9ade0343,11/19/2004 11:00:00 AM,Friday,Nov,19,2004,11,2,26,2009,GRAND LARCENY,FELONY,D,111,QUEENS,N.Y. POLICE DEPT,1044997,210906,"(40.7453644230001, -73.78077086)"
107,94056243,11/21/2004 11:00:00 AM,Sunday,Nov,21,2004,11,11,21,2007,GRAND LARCENY,FELONY,C,43,BRONX,N.Y. POLICE DEPT,1018078,238990,"(40.8225914020001, -73.8777775789999)"
108,2ad577b9,11/25/2004 10:00:00 AM,Thursday,Nov,25,2004,10,3,17,2009,GRAND LARCENY,FELONY,A,5,MANHATTAN,N.Y. POLICE DEPT,985491,198486,"(40.7114830990001, -73.995525067)"
109,c9dc7095,11/25/2004 06:00:00 PM,Thursday,Nov,25,2004,18,12,4,2007,RAPE,FELONY,H,44,BRONX,N.Y. POLICE DEPT,1006434,244344,"(40.8373235110001, -73.9198307569999)"
110,b60c9724,12/09/2004 09:00:00 AM,Thursday,Dec,9,2004,9,1,3,2008,GRAND LARCENY,FELONY,F,24,MANHATTAN,N.Y. POLICE DEPT,993113,230778,"(40.800112068, -73.967989389)"
111,dc661920,01/09/2005 12:00:00 AM,Sunday,Jan,9,2005,0,5,10,2006,GRAND LARCENY,FELONY,H,70,BROOKLYN,N.Y. POLICE DEPT,995849,172757,"(40.64085528, -73.958207273)"
112,853a2d78,01/09/2005 12:01:00 AM,Sunday,Jan,9,2005,0,4,28,2006,GRAND LARCENY,FELONY,G,70,BROOKLYN,N.Y. POLICE DEPT,998880,170275,"(40.6340382320001, -73.947291187)"
113,c8c88d8d,01/09/2005 08:00:00 AM,Sunday,Jan,9,2005,8,1,23,2006,GRAND LARCENY,FELONY,G,13,MANHATTAN,N.Y. POLICE DEPT,986464,208227,"(40.738219595, -73.992012181)"
114,321934b8,01/09/2005 09:00:00 AM,Sunday,Jan,9,2005,9,1,3,2006,GRAND LARCENY,FELONY,F,88,BROOKLYN,N.Y. POLICE DEPT,992195,190879,"(40.690600181, -73.9713522179999)"
115,90cc62bb,01/09/2005 12:15:00 PM,Sunday,Jan,9,2005,12,1,9,2006,ROBBERY,FELONY,G,73,BROOKLYN,N.Y. POLICE DEPT,1008625,183197,"(40.6694848440001, -73.912134362)"
116,ec64b4d,01/09/2005 01:20:00 PM,Sunday,Jan,9,2005,13,1,9,2006,GRAND LARCENY,FELONY,I,104,QUEENS,N.Y. POLICE DEPT,1009418,199467,"(40.7141400030001, -73.909214973)"
117,5ed924d5,01/09/2005 07:00:00 PM,Sunday,Jan,9,2005,19,1,10,2006,GRAND LARCENY,FELONY,F,47,BRONX,N.Y. POLICE DEPT,1025312,261118,"(40.883295441, -73.851504945)"
118,5c5e99d8,01/09/2005 09:15:00 PM,Sunday,Jan,9,2005,21,1,9,2006,GRAND LARCENY,FELONY,C,9,MANHATTAN,N.Y. POLICE DEPT,988696,203586,"(40.725480346, -73.983961028)"
119,70e0e7d8,01/10/2005 09:00:00 AM,Monday,Jan,10,2005,9,10,18,2007,GRAND LARCENY,FELONY,B,68,BROOKLYN,N.Y. POLICE DEPT,979819,166792,"(40.6244891010001, -74.0159635539999)"
120,de484a2e,01/10/2005 12:00:00 PM,Monday,Jan,10,2005,12,2,16,2006,GRAND LARCENY,FELONY,G,45,BRONX,N.Y. POLICE DEPT,1030226,250326,"(40.8536505060001, -73.8338080519999)"
121,3ac4d9da,01/10/2005 04:00:00 PM,Monday,Jan,10,2005,16,1,12,2006,GRAND LARCENY OF MOTOR VEHICLE,FELONY,D,102,QUEENS,N.Y. POLICE DEPT,1024681,188941,"(40.6851920440001, -73.854221267)"
122,d36482a2,02/11/2005 04:55:00 AM,Friday,Feb,11,2005,4,2,11,2006,FELONY ASSAULT,FELONY,H,79,BROOKLYN,N.Y. POLICE DEPT,997913,189282,"(40.686209804, -73.95073667)"
